Date,Traffic Volume,Average Speed,Congestion Level,Travel Time Index,Road Capacity Utilization,Traffic_Exposure_Index
2022-01-01,35587.666666666664,40.646201550770776,86.64830991744144,1.4494919512757167,92.75265344991158,0.46280299077962955
2022-01-02,27908.81818181818,40.92090543066917,76.77430483340582,1.3657767731085952,90.35419345765126,0.34959424136350736
2022-01-03,26660.428571428572,36.21300833277899,77.03826819131747,1.4217503744580018,85.7342984294444,0.33123754609781236
2022-01-04,29571.636363636364,39.386708408856585,77.64128288839528,1.3657041651130553,92.89154074621163,0.3741222913470512
2022-01-05,32738.5,38.79159830344578,82.07830776567747,1.3641708814542972,95.07443364663463,0.420824162930791
2022-01-06,31688.0,41.9655041245164,81.19806180172024,1.3663221391489166,91.19137993425348,0.4052927688269837
2022-01-07,31174.25,35.80146055156688,84.32333724256038,1.4079024419232438,95.40625712887451,0.3978341166985627
2022-01-08,29261.666666666668,44.16361891581121,76.84517887201837,1.3580578509031893,87.23217210319375,0.36947550928840056
2022-01-09,28069.85714285714,32.79762864570143,84.34876968927158,1.3960597482040673,92.07154857014714,0.3521229881136219
2022-01-10,31479.909090909092,39.754445091494716,83.84896642919523,1.407142005671098,94.98236771944097,0.40228921673956
2022-01-11,25672.333333333332,41.21881394464558,71.17150714816381,1.2688945191922323,84.11774939078994,0.3165730360405645
2022-01-12,29387.777777777777,33.745096583614696,80.35570329712714,1.348009528413844,95.77048793466753,0.37150823552031725
2022-01-13,27640.0,42.57515420801582,68.99753618606174,1.3545847511370257,85.68865295406594,0.3455319011918458
2022-01-14,26930.4,39.072373010960796,75.83449280699678,1.3816824810722115,86.60785561394745,0.3351776157540059
2022-01-15,22563.125,37.52620865387624,65.70335848459837,1.2993931780354773,77.6595188715236,0.27073901163696334
2022-01-16,35015.875,38.572751635356866,90.98286030382567,1.451308477891045,92.18648702702734,0.45443621296874626
2022-01-17,25181.666666666668,43.373292801981115,70.52700840964697,1.3456834466922964,82.09164016079563,0.30930903540936816
2022-01-18,29106.85714285714,36.76046845266625,86.06910061843075,1.3687432100032788,100.0,0.36740442268583806
2022-01-19,31838.666666666668,40.166062166771006,90.5512035082292,1.3858206384235272,100.0,0.407646961574176
2022-01-20,28728.714285714286,44.01004650216941,76.43020097398357,1.3533542513312522,86.32145309601091,0.3616191922416253
2022-01-21,26250.6,44.26018920797584,72.27609435983948,1.318080702736836,85.95379065994591,0.325076351103497
2022-01-22,30304.444444444445,43.93038543449693,84.16179865774194,1.392187302339053,94.51003514578785,0.3849308289260318
2022-01-23,27853.777777777777,35.778051564919025,81.54643564487174,1.376490555414313,91.25456838796612,0.34888159044366807
2022-01-24,27766.272727272728,41.99954747024395,70.03365147136411,1.307605285619917,81.27133401652317,0.347387934430085
2022-01-25,23750.14285714286,35.72316181985472,79.44995291939281,1.3991637875704406,97.22074037774473,0.28844165483129564
2022-01-26,24377.833333333332,40.29433359518764,72.47239468486701,1.2698478474988848,88.90485374808395,0.29754539722624324
2022-01-27,29276.666666666668,42.466494609211516,82.2083802644682,1.4180735649893899,91.71919185685881,0.3697786024832084
2022-01-28,33439.77777777778,41.16637929831139,79.83249703234704,1.3016367414057237,93.94298025316691,0.431105330281097
2022-01-29,30880.454545454544,42.64712626168786,81.14779369729571,1.347812593175506,95.63280874959182,0.39340834308222195
2022-01-30,29726.0,40.295326769904065,78.58558160093334,1.3708584533945856,85.10408932172342,0.3763617603390317
2022-01-31,28292.11111111111,41.68442666333014,82.42993622235122,1.268745759190747,97.20716164948635,0.3553082945173352
2022-02-01,33915.555555555555,41.326657681505644,85.61434502398986,1.390711370392027,96.25518127367009,0.4381708018931
2022-02-02,29007.2,37.92366642467901,71.80375988632201,1.3194175900548828,89.07526911793988,0.36575793430747955
2022-02-03,24548.11111111111,33.739203801298444,75.9023739926828,1.4083830754618887,86.20587860969505,0.30014071870348136
2022-02-04,24972.363636363636,43.599766352899536,75.16421739782567,1.3028914399764915,92.48598574475452,0.3063061402921211
2022-02-05,31951.375,40.13889824583707,86.88024219513893,1.4579450635935702,95.37924620893345,0.40925743962735683
